"","Page","URL","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","title"
"20","/content/dispatches/church-leaders-react-supreme-tie-dapadaca","http://americamagazine.org/content/dispatches/church-leaders-react-supreme-tie-dapadaca",NA,"3,173","3,027","0:04:52","2,892","90.98%","91.49%","$0.00","Church leaders react to Supreme tie on DAPA/DACA"
"21","/content/ignatian-educator/ten-tips-ignatian-summer","http://americamagazine.org/content/ignatian-educator/ten-tips-ignatian-summer",NA,"3,130","2,885","0:07:47","2,874","83.17%","89.46%","$0.00","Ten tips for an Ignatian summer"
"22","/content/dispatches/disunited-kingdom-votes-leave-european-union","http://americamagazine.org/content/dispatches/disunited-kingdom-votes-leave-european-union",NA,"3,091","2,921","0:08:02","2,713","85.26%","88.97%","$0.00","A Disunited Kingdom votes to leave the European Union"
"23","/news","http://americamagazine.org/news",NA,"3,076","2,562","0:02:42","1,321","70.30%","49.02%","$0.00","News"
"24","/issue/dutertes-tough-talk","http://americamagazine.org/issue/dutertes-tough-talk",NA,"3,044","2,913","0:07:40","2,652","89.97%","88.60%","$0.00","Can the Catholic Church work with the Philippines’ new president?"
"25","/issue/322/article/when-muslims-and-christians-marry","http://americamagazine.org/issue/322/article/when-muslims-and-christians-marry",NA,"2,926","2,758","0:11:43","2,752","90.75%","93.98%","$0.00","When Muslims and Christians Marry"
"26","/issue/top-ten-takeaways-amoris-laetitia","http://americamagazine.org/issue/top-ten-takeaways-amoris-laetitia",NA,"2,838","2,313","0:04:09","2,187","83.55%","75.69%","$0.00","Top 10 takeaways from “Amoris Laetitia”"
"27","/content/all-things/bob-dylans-churches","http://americamagazine.org/content/all-things/bob-dylans-churches",NA,"2,794","2,605","0:11:09","2,326","60.43%","84.65%","$0.00","Bob Dylan's Church(es): Travels in the North Country fair"
"28","/content/dispatches/no-more-prayers-gun-violence","http://americamagazine.org/content/dispatches/no-more-prayers-gun-violence",NA,"2,787","2,563","0:03:44","1,738","82.91%","71.01%","$0.00","Could we all please stop tweeting “I’ll pray for you” about gun violence?"
"29","/sections/archives","http://americamagazine.org/sections/archives",NA,"2,682","1,786","0:00:14","457","12.91%","6.97%","$0.00","Previous Issues"
"30","/sections/blogs","http://americamagazine.org/sections/blogs",NA,"2,574","2,132","0:02:30","1,255","70.97%","49.65%","$0.00","Blogs"
"31","/issue/marriage-life-pope-francis-says","http://americamagazine.org/issue/marriage-life-pope-francis-says",NA,"2,444","2,325","0:05:19","2,097","89.05%","88.22%","$0.00","Too many couples do not understand marriage is for life, pope says"
"32","/pope-interview","http://americamagazine.org/pope-interview",NA,"2,444","2,229","0:07:17","2,141","83.29%","88.05%","$0.00","A Big Heart Open to God: The exclusive interview with Pope Francis"
"33","/issue/wham-thump-yahweh","http://americamagazine.org/issue/wham-thump-yahweh",NA,"2,416","2,289","0:03:44","1,997","89.94%","84.89%","$0.00","Wham! Thump! Yahweh! Are your kids ready for ‘The Action Bible’?"
"34","/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations","http://americamagazine.org/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations",NA,"2,230","2,122","0:03:28","1,767","91.17%","83.72%","$0.00","Supreme Court strikes down Texas abortion clinic regulations"
"35","/content/dispatches/captain-america-not-nazi","http://americamagazine.org/content/dispatches/captain-america-not-nazi",NA,"2,202","2,089","0:06:05","1,872","85.78%","88.78%","$0.00","Captain America Is Not a Nazi (But Why It’s Important that People Think He Is)"
"36","/issue/love-and-protect","http://americamagazine.org/issue/love-and-protect",NA,"2,193","2,002","0:05:04","1,801","78.07%","80.53%","$0.00","Archbishop Blase Cupich: Protecting young people is at the core of the church's ministry."
"37","/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church","http://americamagazine.org/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church",NA,"2,051","1,930","0:05:13","1,716","87.73%","85.67%","$0.00","Pope Francis Prays for Full Unity with Armenian Apostolic Church"
"38","/opus-dei","http://americamagazine.org/opus-dei",NA,"2,033","1,924","0:12:17","1,922","88.79%","93.51%","$0.00","Opus Dei in the United States"
"39","/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect","http://americamagazine.org/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect",NA,"1,979","1,854","0:05:57","1,529","68.16%","82.06%","$0.00","‘Killing is not caring’: California's assisted suicide law goes into effect"
"40","/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj","http://americamagazine.org/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj",NA,"1,978","1,771","0:08:15","1,267","59.38%","74.32%","$0.00","Pope Francis and the theology of failure: Q&A with John Navone, S.J."
"41","/archives/2016","http://americamagazine.org/archives/2016",NA,"1,952","1,225","0:00:14","46","36.17%","6.71%","$0.00","Archives: 2016"
"42","/things","http://americamagazine.org/things",NA,"1,920","1,507","0:00:59","839","57.83%","38.28%","$0.00","In All Things"
"43","/issue/636/article/what-divides-orthodox-and-catholics","http://americamagazine.org/issue/636/article/what-divides-orthodox-and-catholics",NA,"1,899","1,814","0:08:39","1,814","92.95%","94.84%","$0.00","What Divides Orthodox and Catholics?"
"44","/sections/pope-francis-homilies","http://americamagazine.org/sections/pope-francis-homilies",NA,"1,855","1,455","0:01:03","1,250","67.76%","59.25%","$0.00","Pope Francis Homilies"
"45","/content/all-things/white-crime-campus-and-white-collar-crime","http://americamagazine.org/content/all-things/white-crime-campus-and-white-collar-crime",NA,"1,760","1,605","0:05:28","1,110","75.96%","70.68%","$0.00","Brock Turner, white crime on campus and white collar crime"
"46","/content/the-word/christian-freedom","http://americamagazine.org/content/the-word/christian-freedom",NA,"1,755","1,547","0:02:27","732","84.58%","58.01%","$0.00",NA
"47","/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord","http://americamagazine.org/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord",NA,"1,703","1,659","0:02:48","1,551","92.27%","91.25%","$0.00","Pope Francis reacts to Brexit vote"
"48","/issue/abolitionist","http://americamagazine.org/issue/abolitionist",NA,"1,691","1,596","0:03:20","1,466","89.57%","86.64%","$0.00","Pope Francis' case against the death penalty"
"49","/content/the-word/welcome-sinners","http://americamagazine.org/content/the-word/welcome-sinners",NA,"1,671","1,522","0:02:33","785","84.37%","64.39%","$0.00",NA
"50","/opinion","http://americamagazine.org/opinion",NA,"1,651","1,449","0:03:19","669","78.29%","47.61%","$0.00","Opinion"
"51","/content/all-things/tridentine-mass-why-i-couldnt-go-back","http://americamagazine.org/content/all-things/tridentine-mass-why-i-couldnt-go-back",NA,"1,640","1,505","0:05:25","1,497","87.26%","89.21%","$0.00","The Tridentine Mass: Why I Couldn't Go Back"
"52","/issue/feminist-case-against-abortion","http://americamagazine.org/issue/feminist-case-against-abortion",NA,"1,540","1,426","0:08:08","1,418","91.54%","91.69%","$0.00","The Feminist Case Against Abortion"
"53","/content/dispatches/call-national-jesuit-campaign-gun-control","http://americamagazine.org/content/dispatches/call-national-jesuit-campaign-gun-control",NA,"1,521","1,349","0:05:12","890","75.64%","69.89%","$0.00","Calling all Jesuits: Time for a national campaign for gun control?"
"54","/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse","http://americamagazine.org/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse",NA,"1,499","1,394","0:08:54","1,368","80.38%","90.46%","$0.00","Catholic bishop apologizes for 'betrayal' of sexual abuse"
"55","/issue/all-they-have-each-other","http://americamagazine.org/issue/all-they-have-each-other",NA,"1,475","1,403","0:07:41","1,390","90.80%","94.17%","$0.00","The horror of 'Room' is closer to a documentary than a fantasy."
"56","/sections/vatican-dispatch","http://americamagazine.org/sections/vatican-dispatch",NA,"1,383","1,166","0:01:13","1,059","74.03%","68.26%","$0.00","Vatican Dispatch"
"57","/content/the-word/primary-identity","http://americamagazine.org/content/the-word/primary-identity",NA,"1,359","1,235","0:02:34","605","90.74%","64.16%","$0.00",NA
"58","/content/all-things/god-loves-cleveland","http://americamagazine.org/content/all-things/god-loves-cleveland",NA,"1,355","1,210","0:06:18","1,013","51.02%","75.57%","$0.00","It turns out God loves Cleveland after all."
"59","/media/podcasts/churchs-response-orlando","http://americamagazine.org/media/podcasts/churchs-response-orlando",NA,"1,353","1,204","0:04:02","709","78.93%","63.64%","$0.00","The Church's Response to Orlando"
"60","/sections/word","http://americamagazine.org/sections/word",NA,"1,337","986","0:00:35","226","22.12%","13.24%","$0.00","The Word"
"61","/content/all-things/life-times-st-aloysius-gonzaga","http://americamagazine.org/content/all-things/life-times-st-aloysius-gonzaga",NA,"1,308","1,185","0:09:40","1,176","86.46%","88.53%","$0.00","The Life of Times of St. Aloysius Gonzaga"
"62","/issue/holy-see-deplores-absurd-violence-after-orlando-rampage","http://americamagazine.org/issue/holy-see-deplores-absurd-violence-after-orlando-rampage",NA,"1,304","1,217","0:03:36","757","83.97%","74.23%","$0.00","Holy See, U.S. religious leaders urge prayers and peace following Orlando rampage"
"63","/issue/means-ends-and-embryos","http://americamagazine.org/issue/means-ends-and-embryos",NA,"1,271","1,178","0:04:28","653","73.89%","60.58%","$0.00","Is it time to move the line for embryo research? Here’s what’s missing from the debate."
"64","/culture","http://americamagazine.org/culture",NA,"1,268","1,139","0:03:54","666","80.03%","56.78%","$0.00","Culture"
"65","/issue/right-roam","http://americamagazine.org/issue/right-roam",NA,"1,241","1,188","0:03:15","1,020","92.07%","84.93%","$0.00","Walking is good for the heart. Too often we see it as a sinister activity"
"66","/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide","http://americamagazine.org/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide",NA,"1,217","1,138","0:03:38","1,055","84.83%","85.13%","$0.00","Pope Francis Prays at National Memorial to Victims of the Armenian Genocide"
"67","/content/all-things/sins-world","http://americamagazine.org/content/all-things/sins-world",NA,"1,189","1,133","0:04:38","912","87.19%","79.14%","$0.00","In 'The Innocents,' violence and motherhood transform a Polish convent"
"68","/content/all-things/standing-gun-violence-again","http://americamagazine.org/content/all-things/standing-gun-violence-again",NA,"1,161","995","0:04:23","564","62.28%","57.19%","$0.00","Another massacre recalls us to our mission to reduce gun violence"
"69","/content/all-things/shall-we-fast-ramadan","http://americamagazine.org/content/all-things/shall-we-fast-ramadan",NA,"1,140","1,007","0:05:28","733","73.95%","72.19%","$0.00","Should Christians fast this Ramadan?"
"70","/content/all-things/how-fix-our-trump-problem","http://americamagazine.org/content/all-things/how-fix-our-trump-problem",NA,"1,135","1,049","0:04:50","517","69.92%","64.58%","$0.00","How to fix our Trump problem"
"71","/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country","http://americamagazine.org/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country",NA,"1,130","1,049","0:06:47","765","83.92%","76.46%","$0.00","Sacramento bishop reflects on a tumultuous year in California, the church and the country"
"72","/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus","http://americamagazine.org/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus",NA,"1,112","1,031","0:14:09","1,030","78.49%","91.55%","$0.00","I didn't think this election could get crazier. Then I Googled each candidate and 'Jesuit.'"
"73","/content/all-things/solidarity-our-lgbt-brothers-and-sisters","http://americamagazine.org/content/all-things/solidarity-our-lgbt-brothers-and-sisters",NA,"1,111","1,034","0:04:53","995","79.22%","83.62%","$0.00","unknown"
"74","/issue/feminism-has-not-lost-its-soul","http://americamagazine.org/issue/feminism-has-not-lost-its-soul",NA,"1,107","996","0:04:42","639","65.79%","66.49%","$0.00","Feminism hasn't lost its soul"
"75","/toc-past/2016-06-06","http://americamagazine.org/toc-past/2016-06-06",NA,"1,082","678","0:00:27","137","35.77%","12.20%","$0.00",NA
"76","/issue/dolorosa","http://americamagazine.org/issue/dolorosa",NA,"1,055","966","0:02:46","657","79.67%","67.39%","$0.00","The Editors: Sustaining hope after Orlando"
"77","/issue/steering-ship-state","http://americamagazine.org/issue/steering-ship-state",NA,"1,039","922","0:06:31","455","62.83%","62.37%","$0.00","15 Ways President Obama has changed the direction of America"
"78","/user/login?destination=","http://americamagazine.org/user/login?destination=",NA,"979","603","0:00:46","68","86.76%","24.21%","$0.00","User account"
"79","/content/the-word/new-cross","http://americamagazine.org/content/the-word/new-cross",NA,"977","854","0:01:49","224","86.16%","43.71%","$0.00",NA
"80","/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum","http://americamagazine.org/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum",NA,"973","874","0:03:28","265","70.63%","53.85%","$0.00","To the campaign's bitter end, hate and fear typify 'Brexit' referendum"
"81","/contact","http://americamagazine.org/contact",NA,"945","780","0:02:25","284","57.69%","55.03%","$0.00","Contact Us"
"82","/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy","http://americamagazine.org/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy",NA,"939","877","0:05:18","542","82.82%","74.33%","$0.00","Pope Francis tells priests: ‘Nothing unites us to God more than an act of mercy.’"
"83","/issue/repeal-second-amendment","http://americamagazine.org/issue/repeal-second-amendment",NA,"938","876","0:08:58","867","89.68%","91.47%","$0.00","Repeal the Second Amendment"
"84","/content/good-word/sight-vs-insight","http://americamagazine.org/content/good-word/sight-vs-insight",NA,"914","860","0:03:03","418","83.29%","63.35%","$0.00","The young may see better, but the old comprehend more."
"85","/content/all-things/story-ugandan-martyrs","http://americamagazine.org/content/all-things/story-ugandan-martyrs",NA,"888","805","0:09:51","798","87.12%","89.19%","$0.00","The Story of the Ugandan Martyrs"
"86","/top-ten-takeaways-laudato-si","http://americamagazine.org/top-ten-takeaways-laudato-si",NA,"886","787","0:05:36","732","84.17%","83.97%","$0.00","Top Ten Takeaways from 'Laudato Si''"
"87","/user","http://americamagazine.org/user",NA,"885","479","0:01:26","115","33.91%","21.36%","$0.00","My Profile"
"88","/content/the-word/mercys-healing","http://americamagazine.org/content/the-word/mercys-healing",NA,"877","822","0:04:12","516","89.38%","77.42%","$0.00",NA
"89","/content/dispatches/after-brexit-ireland-faces-partition-once-again","http://americamagazine.org/content/dispatches/after-brexit-ireland-faces-partition-once-again",NA,"874","827","0:03:35","494","80.36%","66.25%","$0.00","Northern Ireland may be a small part of the U.K., but it will suffer the severe consequences"
"90","/issue/5138/article/why-they-left","http://americamagazine.org/issue/5138/article/why-they-left",NA,"872","817","0:08:58","797","88.50%","91.63%","$0.00","Why They Left"
"91","/content/all-things/sell-everything-you-have","http://americamagazine.org/content/all-things/sell-everything-you-have",NA,"859","786","0:02:54","539","70.32%","60.30%","$0.00","'Sell everything you have': just as hard as it sounds"
"92","/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon","http://americamagazine.org/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon",NA,"840","757","0:07:29","498","61.35%","73.33%","$0.00","The Evolution of Catholic Masculinity: 15 Questions for Dr. Aqualus Gordon"
"93","/issue/studying-women-deacons","http://americamagazine.org/issue/studying-women-deacons",NA,"840","742","0:03:15","102","55.24%","46.31%","$0.00","It's time to start studying women deacons."
"94","/issue/priest-his-people","http://americamagazine.org/issue/priest-his-people",NA,"831","761","0:05:16","593","83.72%","74.13%","$0.00","Martyr Rutilio Grande, S.J., is a model servant-leader for the church of Pope Francis."
"95","/issue/take-high-road-vermont-bishop-tells-catholic-communicators","http://americamagazine.org/issue/take-high-road-vermont-bishop-tells-catholic-communicators",NA,"818","786","0:04:02","717","87.31%","87.78%","$0.00","Take the high road, Vermont Bishop Coyne tells Catholic communicators"
"96","/issue/libertarians-step","http://americamagazine.org/issue/libertarians-step",NA,"814","736","0:02:16","308","57.10%","48.89%","$0.00","A third party goes beyond the fringe"
"97","/content/all-things/osama-bin-ladens-ghost-lurks","http://americamagazine.org/content/all-things/osama-bin-ladens-ghost-lurks",NA,"806","767","0:10:10","753","77.62%","93.30%","$0.00","How did Osama bin Laden really die? The truth matters."
"98","/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change","http://americamagazine.org/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change",NA,"804","706","0:03:30","253","65.49%","55.22%","$0.00","Clinton claims presidential nomination, 32 years after Ferraro"
"99","/aboutus","http://americamagazine.org/aboutus",NA,"803","647","0:01:43","259","57.09%","37.11%","$0.00","America Media"
"100","/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight","http://americamagazine.org/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight",NA,"793","711","0:05:11","613","83.58%","78.81%","$0.00","Camp closure in Kenya refocuses global attention on refugee crisis"
"101","/issue/there-grows-neighborhood","http://americamagazine.org/issue/there-grows-neighborhood",NA,"788","746","0:03:16","634","87.56%","82.36%","$0.00","Don't know what to do about gentrification? Listening is a good place to start."
"102","/issue/my-life-unstuffed","http://americamagazine.org/issue/my-life-unstuffed",NA,"783","701","0:04:17","515","81.98%","72.03%","$0.00","How a mother's death taught me to appreciate my past"
"103","/issue/pope-elevates-memorial-st-mary-magdalene-feast-day","http://americamagazine.org/issue/pope-elevates-memorial-st-mary-magdalene-feast-day",NA,"765","701","0:03:15","349","82.91%","61.31%","$0.00","Pope Francis raises memorial of St. Mary Magdalene to a feast day"
"104","/issue/ordinary-holy-families","http://americamagazine.org/issue/ordinary-holy-families",NA,"758","708","0:04:05","364","75.62%","62.80%","$0.00","Families weren't perfect in the Bible, but we can still learn from them."
"105","/toc-past/2016-06-20","http://americamagazine.org/toc-past/2016-06-20",NA,"754","451","0:00:25","52","52.83%","11.41%","$0.00",NA
"106","/content/dispatches/pope-francis-and-top-sunni-leader-meet-vatican","http://americamagazine.org/content/dispatches/pope-francis-and-top-sunni-leader-meet-vatican",NA,"748","687","0:05:54","660","88.05%","88.24%","$0.00","Pope Francis and top Muslim leader meet at the Vatican"
"107","/issue/college-free-all","http://americamagazine.org/issue/college-free-all",NA,"745","643","0:05:33","630","85.74%","84.30%","$0.00","Should college be free for all?"
"108","/content/dispatches/pope-francis-visits-armenia-worlds-first-christian-nation","http://americamagazine.org/content/dispatches/pope-francis-visits-armenia-worlds-first-christian-nation",NA,"742","694","0:05:46","547","88.67%","83.15%","$0.00","Pope Francis will visit Armenia, the world's first Christian nation"
"109","/content/good-word/its-heart-trips-you","http://americamagazine.org/content/good-word/its-heart-trips-you",NA,"737","679","0:03:03","387","80.21%","65.26%","$0.00","Don’t fall into the Gospel by way of scientific holes."
"110","/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=http://m.facebook.com","http://americamagazine.org/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=http://m.facebook.com",NA,"733","553","0:01:13","541","73.75%","72.58%","$0.00","unknown"
"111","/issue/closing-and-opening","http://americamagazine.org/issue/closing-and-opening",NA,"731","676","0:02:36","135","78.83%","43.23%","$0.00","A Closing and an Opening: On graduation and the priesthood"
"112","/issue/article/francis-family-and-feminism","http://americamagazine.org/issue/article/francis-family-and-feminism",NA,"721","688","0:04:03","650","92.64%","90.43%","$0.00","Pope Francis: We must “see in the women’s movement the working of the Spirit.”"
"113","/issue/throne-and-altar-time","http://americamagazine.org/issue/throne-and-altar-time",NA,"721","670","0:03:04","200","84.08%","47.85%","$0.00","Three principles for approaching the political in the pulpit"
"114","/issue/culture/pontiff-pedestal","http://americamagazine.org/issue/culture/pontiff-pedestal",NA,"715","644","0:04:01","356","66.76%","53.57%","$0.00","Pontiff on a Pedestal"
"115","/issue/many-things-133","http://americamagazine.org/issue/many-things-133",NA,"714","656","0:02:33","344","71.30%","52.94%","$0.00","Introducing Pope Francis' new man in Washington"
"116","/users/james-martin-sj","http://americamagazine.org/users/james-martin-sj",NA,"697","590","0:02:16","368","45.53%","52.80%","$0.00","James Martin, SJ"
"117","/issue/culture/search-catholic-novel","http://americamagazine.org/issue/culture/search-catholic-novel",NA,"691","598","0:05:35","397","69.67%","61.07%","$0.00","In Search of the Catholic Novel"
"118","/content/unconventional-wisdom/how-red-and-blue-map-evolved-over-past-century","http://americamagazine.org/content/unconventional-wisdom/how-red-and-blue-map-evolved-over-past-century",NA,"685","624","0:07:41","496","63.62%","75.91%","$0.00","How the red and blue map evolved over the past century"
"119","/issue/joy-science","http://americamagazine.org/issue/joy-science",NA,"683","588","0:04:44","330","70.87%","59.44%","$0.00","How gravitational waves show that science is a gateway to beauty and contemplation."
"120","/content/dispatches/pope-francis-todays-world-wars-are-fed-not-persons","http://americamagazine.org/content/dispatches/pope-francis-todays-world-wars-are-fed-not-persons",NA,"678","625","0:03:41","368","74.80%","62.54%","$0.00","Pope Francis: In today’s world “wars are fed, not persons.”"
"121","/issue/big-dig","http://americamagazine.org/issue/big-dig",NA,"678","641","0:10:28","634","91.97%","93.36%","$0.00","‘Spotlight’ revisits the investigation of sexual abuse."
"122","/issue/pope-how-be-salt-earth-and-light-world","http://americamagazine.org/issue/pope-how-be-salt-earth-and-light-world",NA,"665","598","0:03:15","427","82.94%","71.43%","$0.00","Christians must be salt and light. How? Pope Francis has a simple answer"
"123","/jobs-classifieds","http://americamagazine.org/jobs-classifieds",NA,"654","433","0:00:24","72","76.39%","28.75%","$0.00","Jobs and Classifieds"
"124","/content/dispatches/pope-francis-meets-mother-only-argentinian-death-row-united-states","http://americamagazine.org/content/dispatches/pope-francis-meets-mother-only-argentinian-death-row-united-states",NA,"645","610","0:03:51","376","86.17%","72.40%","$0.00","Today Pope Francis met with the mother of the only Argentinian on death row in the United States."
"125","/issue/when-smaller-better","http://americamagazine.org/issue/when-smaller-better",NA,"626","552","0:03:43","252","73.62%","57.67%","$0.00","When it comes to nurturing faith, smaller is often better."
"126","/content/unconventional-wisdom/voting-end-democracy","http://americamagazine.org/content/unconventional-wisdom/voting-end-democracy",NA,"623","583","0:07:32","404","60.77%","75.60%","$0.00","Trump benefits from an impatience with compromise"
"127","/content/all-things/day-yankee-stadium-cried","http://americamagazine.org/content/all-things/day-yankee-stadium-cried",NA,"605","560","0:05:17","339","81.18%","69.92%","$0.00","‘The Luckiest Man’: Remembering Lou Gehrig 75 years after the Yankee great's death"
"128","/content/dispatches/pope-francis-seek-healing-and-justice-victims-human-trafficking","http://americamagazine.org/content/dispatches/pope-francis-seek-healing-and-justice-victims-human-trafficking",NA,"599","513","0:02:44","405","83.46%","71.12%","$0.00","Pope Francis urges healing and justice for victims of human trafficking"
"129","/goodword","http://americamagazine.org/goodword",NA,"597","490","0:00:45","110","64.55%","27.81%","$0.00","The Good Word"
"130","/contact/submissions","http://americamagazine.org/contact/submissions",NA,"594","509","0:04:06","254","49.23%","65.15%","$0.00","Submissions"
"131","/issue/culture/road-christ","http://americamagazine.org/issue/culture/road-christ",NA,"594","522","0:03:36","286","69.12%","54.55%","$0.00","The Road to Christ"
"132","/content/all-things/meeting-vladimir-lenin-new-moscow","http://americamagazine.org/content/all-things/meeting-vladimir-lenin-new-moscow",NA,"589","553","0:04:14","371","85.22%","67.74%","$0.00","Meeting Vladimir Lenin in the new Moscow: a report from our literary editor abroad"
"133","/content/dispatches/digging-deep-mercy-we-all-need","http://americamagazine.org/content/dispatches/digging-deep-mercy-we-all-need",NA,"587","550","0:05:14","503","91.45%","86.54%","$0.00","San Diego bishop calls for a practical ‘apology’ to L.G.B.T. Catholics"
